#hg19_pos   paralog weight  chm1_pos
120610389	N	1	120725860
120575068	N	1	120690539
120593671	C	1	150777657
120586204	N	1	120701675
120608385	C	1	150762936
120580827	N	1	120696298
120592693	D	1	121401604
120604013	C	1	150767314
120604483	C	1	150766844
120605106	C	1	150766221
120558175	D	1	121436158
120567400	N	1	120682871
120608669	A	1	147593537
120585641	C	1	150786042
120585744	N	1	120701215
120561430	C	3	150810237
120606147	D	1	121388142
120568737	A	0.864047253158	147553654
120556229	B	1.45928810908	149992079
120583015	C	1	150788659
120563529	C	1	150808137
120584091	C	1	150787591
120604207	D	1	121390082
120609245	D	1	121385040
120596095	C	1	150775246
120594638	C	1	150776703
120609416	D	1	121384869
120557820	D	1	121436513
120563786	C	1	150807880
120562464	B	0.935213226011	149998315
120607183	C	1	150764136
120585824	N	1	120701295
120576677	C	1	150795007
120557945	A	0.832641303676	147542863
120568954	N	1	120684425
120572612	B	1	150008225
120560405	B	0.932004608219	149996256
120607847	N	1	120723318
120566665	N	1	120682136
120562559	C	1	150809108
120605562	N	1	120721033
120593257	C	1	150778071
120573869	C	1	150797804
120579760	N	1	120695231
120569401	B	0.774069193154	150005025
120572572	D	1	121421756
120608780	C	1	150762541
120557346	D	1	121436991
120604591	C	1	150766736
120594955	B	1	150030554
120561315	N	1	120676786
120572806	D	1	121421522
120604894	C	1	150766433
120566837	C	1	150804830
120571553	A	1	147556452
120607162	N	1	120722633
120592394	D	1	121401903
120557686	C	1	150813978
120566755	A	1	147551667
120594559	C	1	150776781
120574960	C	1	150796716
120563648	A	1	147548563
120580522	N	1	120695993
120561353	A	1	147546268
120558475	A	1.01629169751	147543393
120581967	D	1	121412371
120603823	D	1	121390466
120573732	C	1	150797939
120562021	A	0.973799658808	147546936
120568004	N	1	120683475
120580291	D	1	121414051
120569269	A	0.845499618798	147554182
120603347	D	1	121390942
120605878	N	1	120721349
120593009	B	1	150028628
120592960	C	1	150778368
120598489	D	1	121395801
120573052	C	1	150798618
120556037	A	0.831853321031	147540948
120563410	C	1	150808257
120605383	B	1	150041000
120585393	N	1	120700864
120609732	C	1	150761592
120607338	C	1	150763981
120608429	N	1	120723900
120589375	C	1	150781981
120568027	D	1	121426309
120552660	N	1	120668131
120583833	C	1	150787849
120596847	D	1	121397444
120556254	B	1	149992104
120561422	C	3	150810245
120596307	N	1	120711778
120573846	C	1	150797827
120586978	D	1	121407345
120598140	C	1	150773201
120592352	C	1	150778977
120608777	D	1	121385508
120608387	N	1	120723858
120561058	A	0.959014048173	147545973
120560703	D	1	121433634
120566552	A	0.984304285047	147551464
120579354	C	1	150792328
120556082	A	0.829369345339	147540993
120572547	D	1	121421781
120589506	C	1	150781850
120568610	N	1	120684081
120608415	D	1	121385870
120578008	N	1	120693479
120582986	D	1	121411356
120592393	D	1	121401904
